Geocoordinates,ZipCode,Neighborhood
"40.6740886,-73.9787282",11215,Park Slope
"40.707873,-74.00166999999999",10038,Seaport
"40.725570000000005,-73.94434",11222,Greenpoint
"40.7160751,-73.95202900000001",11211,Williamsburg
"40.802692,-73.96295",10025,Morningside Heights
"40.768692,-73.9249574",11102,Astoria
"40.78414472,-73.98362492",10024,Upper West Side
"40.7767,-73.927631",11102,Ditmars Steinway
"40.715337899999994,-74.01658354",10282,Battery Park City
"40.72362738,-73.99949601",10012,SoHo
"40.7580583,-73.92427509999999",11106,Astoria
"40.7781314,-73.96069399",10028,Upper East Side
"40.7829391,-73.9786517",10024,Upper West Side
"40.75797322,-73.96603308",10022,Midtown East
"40.77536905,-73.94803392",10028,Yorkville
"40.711065999999995,-74.009447",10007,Financial District
"40.777455200000006,-73.9225403",11102,Ditmars Steinway
"40.797470000000004,-73.93504",10035,East Harlem
"40.730563000000004,-73.973984",10009,Midtown Manhattan
"40.809495347779475,-73.94776493310928",10027,Central Harlem
"40.720873600000004,-73.98085795",10009,Alphabet City
"40.71910537,-73.99973337",10013,Little Italy
"40.71450451,-74.00562789",10007,Civic Center
"40.7701477,-73.9120938",11105,Ditmars Steinway
"40.7919557,-73.968087",10025,Upper West Side
"40.754876,-73.934326",11101,Dutch Kills
"40.70862144,-74.00722156",10038,Financial District
"40.74436328706688,-73.95587325096129",11101,Hunters Point
"40.773763,-73.96222088",10021,Lenox Hill
"40.756913,-73.921631",11101,Astoria
"40.71219906,-73.97948148",10002,Lower East Side
"40.75724567911726,-73.97805914282799",10017,Midtown East
"40.663140000000006,-73.96056949999999",11225,Little Caribbean
"40.735640000000004,-73.95866",11222,Greenpoint
"40.7779453,-73.94604100000001",10128,Yorkville
"40.73827428,-73.98751968",10010,Gramercy Park
"40.70834698,-74.01713445",10280,Battery Park City
"40.68488,-73.96304",11238,Clinton Hill
"40.6902375,-73.99203074",11201,Boerum Hill
"40.8006721,-73.9349",10035,East Harlem
"40.72325,-73.94308000000001",11222,Greenpoint
"40.70706456,-74.00731853",10038,Financial District
"40.751581,-73.97791",10168,Murray Hill
"40.754120810779256,-73.98025184869765",10173,Midtown East
"40.6772744,-73.98282002",11215,Park Slope
"40.7546011026,-73.971878855",10017,Midtown East
"40.806979999999996,-73.94174699999999",10035,East Harlem
"40.777553742988864,-73.95512759685515",10028,Upper East Side
"40.768008893059466,-73.96845281124116",10065,Lenox Hill
"40.752165280621966,-73.97992193698882",10017,Midtown South
"40.6851532,-73.94111",11221,Bedford-Stuyvesant
"40.71334184275907,-74.00935515761375",10007,Tribeca
"40.7921,-73.9739",10025,Upper West Side
"40.76712840349542,-73.96224617958069",10065,Lenox Hill
"40.70140317257725,-73.98672670125961",11201,Downtown Brooklyn
"40.78948541553215,-73.9524292945862",10029,East Harlem
"40.732659999999996,-73.95826",11222,Greenpoint
"40.7535992020056,-73.9379560947418",11101,Dutch Kills
"40.80083629999999,-73.9664492472",10025,Bloomingdale
"40.71907891179564,-73.94223690032959",11222,Williamsburg
"40.79541210000001,-73.9441232",10029,East Harlem
"40.804213,-73.96699104",10025,Bloomingdale
"40.75500254,-73.98014437",10036,Midtown South
"40.69573398,-73.97129668",11205,Fort Greene
"40.77565541,-73.95068615",10028,Yorkville
"40.71117416,-74.00016545",10038,Two Bridges
"40.73232194,-73.9550858",11222,Greenpoint
"40.7739825,-73.93091340000001",11102,Astoria
"40.7713615,-73.9246145",11102,Astoria
"40.71929301,-73.94500379",11222,Williamsburg
"40.70569254,-74.01677685",10004,Battery Park City
"40.72146256229816,-73.94800901412964",11222,Greenpoint
"40.75206862,-73.96784384",10017,Midtown East
"40.680356084043396,-73.94767910242079",11216,Bedford-Stuyvesant
"40.72311651,-73.95212324",11222,Williamsburg
"40.71117444,-73.99682619",10038,Two Bridges
"40.6900815,-73.94791500000001",11216,Bedford-Stuyvesant
"40.671197799999995,-73.97484126",11215,Park Slope
"40.677774799999995,-74.0094613",11231,Red Hook
"40.666287,-73.98895053",11215,Park Slope
"40.77518615,-73.94446054",10028,Yorkville
"40.70224,-73.982578",11201,Downtown Brooklyn
"40.79456629999999,-73.9362541",10029,East Harlem
"40.69766564,-73.98476437",11201,Bridge Plaza
"40.678045000000004,-73.962408",11238,Crown Heights
"40.69072549,-73.95133465",11205,Bedford-Stuyvesant
"40.6769694,-73.96579",11238,Prospect Heights
"40.6630619,-73.95387459999999",11225,Prospect Lefferts Gardens
"40.7987859,-73.9523",10026,South Harlem
"40.7485,-73.941275",11101,Hunters Point
"40.6827549,-73.98258555",11217,Boerum Hill
"40.7699426,-73.96060712",10021,Lenox Hill
"40.6783563,-74.00014502",11231,Carroll Gardens
"40.78499979,-73.97283406",10024,Upper West Side
"40.75172632,-73.98753523",10018,Garment District
"40.69957608,-73.94708417",11206,Bedford-Stuyvesant
"40.70877084,-73.95095259",11211,Southside
"40.69363137,-73.96223558",11205,Clinton Hill
"40.666563000000004,-73.95674100000001",11225,Crown Heights
"40.7682,-73.9322662",11106,Astoria
"40.670483600000004,-73.98208968",11215,Park Slope
"40.71816969454208,-73.95520135760306",11211,Williamsburg
"40.686371,-73.99383324",11201,Boerum Hill
"40.7882213,-73.97041561",10024,Upper West Side
"40.666318100000005,-73.9854617",11215,Park Slope
"40.795,-73.9645",10025,Manhattan Valley
"40.6705135,-73.98876585",11215,Gowanus
"40.67909799721684,-73.98765474557877",11215,Gowanus
"40.6849894,-73.99440329",11231,Carroll Gardens
"40.7647,-73.9240312",11106,Astoria
"40.74966,-73.9521",11101,Hunters Point
"40.7552433,-73.94856779999999",11101,Dutch Kills
"40.790254173304184,-73.97718340158461",10024,Upper West Side
"40.71915571696044,-73.94885390996933",11222,Williamsburg
"40.71406667,-73.99293911",10002,Chinatown
"40.7997568,-73.9621128676",10025,Manhattan Valley
"40.77163851,-73.98261428",10023,Lincoln Square
"40.7729,-73.91614200000001",11105,Ditmars Steinway
"40.75763227739443,-73.9693057537079",10022,Midtown East
"40.676519799999994,-73.9596082",11238,Crown Heights
"40.805159,-73.95469200000001",10026,South Harlem
"40.78839,-73.9747",10024,Upper West Side
"40.7149787,-74.013012",10007,Tribeca
"40.71076228,-73.99400398",10002,Two Bridges
"40.746745000000004,-74.007756",10011,Chelsea
"40.71036854235229,-73.94705951213838",11206,Southside
"40.76087502,-74.00277668",10018,Midtown Manhattan
"40.6809591,-73.99905709",11231,Carroll Gardens
"40.77677702,-73.95900970000001",10028,Upper East Side
"40.70037867,-73.99548059",11201,Brooklyn Heights
"40.801486600000004,-73.9442507",10035,East Harlem
"40.675070500000004,-73.98775226",11215,Gowanus
"40.71782143,-73.97628939",10002,Lower East Side
"40.6828003,-73.99990419",11231,Carroll Gardens
"40.71260486,-73.96264403",11249,South Williamsburg
"40.7652654,-73.98192338",10019,Midtown West
"40.6917823,-73.97372990000001",11201,Fort Greene
"40.7692475,-73.93545040000001",11106,Astoria
"40.70255065,-74.0127234",10004,Financial District
"40.692418292578466,-73.98949474096298",11201,Downtown Brooklyn
"40.802926299999996,-73.9379",10035,East Harlem
"40.74718234,-73.9432635",11101,Hunters Point
"40.76873687,-73.96119945",10021,Lenox Hill
"40.70870368,-73.9448625",11206,Southside
"40.7974772,-73.9311847",10035,East Harlem
"40.77282817,-73.96685276",10021,Lenox Hill
"40.68676793,-73.95928168",11238,Bedford-Stuyvesant
"40.6758324,-73.95616770000001",11238,Crown Heights
"40.8078316,-73.949373",10027,South Harlem
"40.75714758,-73.97207836",10022,Midtown East
"40.69527008,-73.95238108",11206,Bedford-Stuyvesant
"40.686312,-73.935775",11221,Bedford-Stuyvesant
"40.6786115,-73.99037292",11231,Gowanus
"40.7169811,-73.94485918",11211,Williamsburg
"40.72580614,-73.97422494",10009,East Village
"40.75992262,-73.97648516",10019,Midtown West
"40.71173107,-73.99193043",10002,Two Bridges
"40.6765304,-73.97846879",11217,Park Slope
"40.663779,-73.98396846",11215,Park Slope
"40.7277140777778,-74.01129573583603",10014,Lower Manhattan
"40.70530954,-74.00612572",10270,Financial District
"40.74096374,-73.98602213",10010,Flatiron District
"40.6737236,-73.9631611",11238,Prospect Heights
"40.684568299999995,-73.95881081",11238,Bedford-Stuyvesant
"40.672695000000004,-73.954131",11216,Crown Heights
"40.802535,-73.9532423",10026,South Harlem
"40.71926081,-73.98178024",10002,Lower East Side
"40.78339981,-73.98093133",10024,Upper West Side
"40.74708586,-73.94977234",11101,Hunters Point
"40.75110165,-73.94073717",11101,Dutch Kills
"40.68691865,-73.976682",11217,Fort Greene
"40.69608941,-73.97803415",11205,Fort Greene
"40.716887,-73.96319799999999",11249,Williamsburg
"40.75527307,-73.98316936",10036,Midtown South
"40.6763744,-74.00324957",11231,Red Hook
"40.75971079999999,-73.97402311",10022,Midtown East
"40.71766197083994,-73.94880026578903",11211,Williamsburg
"40.72430527250332,-73.99600982666016",10012,Lower Manhattan
"40.76108,-73.930562",11106,Astoria
"40.73181401720966,-73.95995020866394",11222,Greenpoint
"40.69839895,-73.98068914",11201,Downtown Brooklyn
"40.71924,-73.95241999999999",11222,Williamsburg
"40.76341379,-73.99667444",10036,Hell's Kitchen
"40.7076449441757,-73.96841526031494",11249,Southside
"40.6894932,-73.942061",11221,Bedford-Stuyvesant
"40.8011939,-73.9500739",10026,South Harlem
"40.777507027547976,-73.98888587951659",10069,Lincoln Square
"40.67890679,-73.94142771",11216,Bedford-Stuyvesant
"40.78720869,-73.98128127",10024,Upper West Side
"40.75299641,-73.98721619",10018,Garment District
"40.8025566,-73.9490782",10026,South Harlem
"40.675146838709786,-73.9752320945263",11217,Park Slope
"40.7031724,-73.940636",11206,Southside
"40.76132983124814,-73.97982001304626",10019,Theater District
"40.798185600000004,-73.96059090060001",10025,Manhattan Valley
"40.67759206937376,-73.95563721656801",11238,Crown Heights
"40.697842,-73.926241",11221,Bushwick
"40.71911552,-74.00666661",10013,Tribeca
"40.70463334,-74.01361706",10004,Financial District
"40.81028506306003,-73.95736455917357",10026,Upper Manhattan
"40.67038370000001,-73.97839676",11215,Park Slope
"40.700003,-73.92834",11237,Bushwick
"40.68223166,-73.9614583",11238,Clinton Hill
"40.6747055,-74.00755720000001",11231,Red Hook
"40.66906013501107,-73.99463653564453",11215,Gowanus
"40.781410700190015,-73.95595908164978",10128,Carnegie Hill
"40.65539977447831,-74.0106278657913",11232,Greenwood Heights
"40.793134809866636,-73.97700369358063",10025,Upper West Side
"40.6849668,-73.98620772",11217,Boerum Hill
"40.71748752,-74.0104554",10013,Tribeca
"40.68199044270703,-73.99079024791719",11217,Gowanus
"40.6793307,-73.97519523",11217,Park Slope
"40.680611,-73.99475825",11231,Carroll Gardens
"40.785785100000005,-73.957481",10128,Central Park West Historic District
"40.6853761,-73.98302136",11217,Boerum Hill
"40.6881529,-73.99520919",11201,Cobble Hill
"40.7969347,-73.9643412291",10025,Manhattan Valley
"40.7577284,-73.9166368",11103,Astoria
"40.686175799999994,-73.99645295",11201,Cobble Hill
"40.714690000000004,-73.95739",11211,Williamsburg
"40.8125511,-73.9492286",10027,West Harlem
"40.787721399999995,-73.94728331",10029,East Harlem
"40.68683208,-73.9796772",11217,Downtown Brooklyn
"40.677236,-74.015665",11231,Red Hook
"40.682601,-73.938037",11216,Stuyvesant Heights
"40.69535693320225,-73.99344027042389",11201,Brooklyn Heights
"40.713229999999996,-73.93894",11211,East Williamsburg
"40.670776700000005,-73.9576801",11216,Crown Heights
"40.751047,-73.93796999999999",11101,Dutch Kills
"40.77037429999999,-73.9286078",11102,Astoria
"40.7656251,-73.9136695",11103,Astoria
"40.7904828,-73.95033068",10029,East Harlem
"40.67434,-74.00194698",11231,Red Hook
"40.75097711,-73.98765428",10018,Garment District
"40.681211700000006,-74.00860912",11231,Red Hook
"40.69064807082943,-73.95746178925037",11238,Bedford-Stuyvesant
"40.7746671,-73.98470567",10023,Lincoln Square
"40.7595701,-73.91426779999999",11103,Astoria
"40.8005385,-73.9419949",10035,East Harlem
"40.807559999999995,-73.93918199999999",10035,East Harlem
"40.69795031569544,-73.97077560424805",11205,Brooklyn Navy Yard
"40.67943270000001,-74.00785041",11231,Red Hook
"40.8013434,-73.97114574390001",10025,Bloomingdale
"40.79343370000001,-73.94945003",10029,East Harlem
"40.752708500000004,-73.9397405",11101,Dutch Kills
"40.70853074,-73.96408963",11211,Southside
"40.70277159,-73.99383605",11201,Fulton Ferry District
"40.675832943912894,-74.01472628116608",11231,Red Hook
"40.67761470000001,-73.97324283",11217,Park Slope
"40.75455731,-73.96592976",10022,Midtown East
"40.813358,-73.956461",10027,Morningside Heights
"40.69102925677968,-73.99183362722397",11201,Brooklyn Heights
"40.6753274,-74.0100698",11231,Red Hook
"40.683116399999996,-73.99785267",11231,Carroll Gardens
"40.8120562,-73.9612547",10027,Morningside Heights
"40.6769993,-74.00647134",11231,Red Hook
"40.693398200000004,-73.939877",11221,Bedford-Stuyvesant
"40.7557327,-73.92366109999999",11101,Astoria
"40.69383,-73.990539",11201,Brooklyn Heights
"40.795508,-73.94160600000001",10029,East Harlem
"40.76780080148132,-73.96592080593109",10065,Lenox Hill
"40.786258600000004,-73.94552579",10029,East Harlem
"40.67418060000001,-73.95649470000001",11216,Crown Heights
"40.69622937,-73.94371094",11206,Bedford-Stuyvesant
"40.6830456,-74.00348559",11231,Columbia Street Waterfront District
"40.77632142182271,-73.96427392959596",10021,Upper East Side
"40.745038,-73.957539",11109,Hunters Point
"40.748000000000005,-73.94609270000001",11101,Hunters Point
"40.670492200000005,-73.98541675",11215,Park Slope
"40.763154,-73.920827",11106,Astoria
"40.67469570000001,-73.99785768",11231,Carroll Gardens
"40.805973,-73.964928",10025,Morningside Heights
"40.68539567,-73.97431458",11217,Fort Greene
"40.6804836,-73.9646795",11238,Prospect Heights
"40.6777287,-73.99364123",11231,Gowanus
"40.81,-73.9551508",10026,Upper Manhattan
"40.6800105,-73.938475",11216,Bedford-Stuyvesant
"40.765834600000005,-73.9265474",11106,Astoria
"40.7675487799971,-73.92093345522879",11102,Astoria
"40.763875299999995,-73.9364848",11106,Astoria
"40.74336608027021,-73.95960688591003",11101,Hunters Point
"40.70510918,-73.94407279",11206,Southside
"40.72185379,-74.00771779",10013,Tribeca
"40.71413311,-73.95234386",11211,Williamsburg
"40.67919439999999,-73.95879029999999",11238,Crown Heights
"40.6795766,-73.97854971",11217,Park Slope
"40.69165183,-73.99997859999999",11201,Columbia Street Waterfront District
"40.6773429,-74.01275056",11231,Red Hook
"40.7691572,-73.96703464",10065,Lenox Hill
"40.67260298150126,-73.98983001708984",11215,Gowanus
"40.70365182,-74.01167797",10004,Financial District
"40.761584,-73.925921",11106,Astoria
"40.804372,-73.951475",10026,South Harlem
"40.74232744,-73.95411749",11101,Hunters Point
"40.6724811,-73.99331394",11215,Gowanus
"40.8067581,-73.9607082",10027,Morningside Heights
"40.715353,-73.93856",11211,East Williamsburg
"40.666439306870814,-73.96055638790129",11225,Crown Heights
"40.684020000000004,-73.94977",11216,Bedford-Stuyvesant
"40.6627059,-73.9569115",11225,Prospect Lefferts Gardens
"40.8086249,-73.9596214",10027,Morningside Heights
"40.6686744,-73.9618148",11225,Crown Heights
"40.68833370000001,-73.950916",11216,Bedford-Stuyvesant
"40.713811,-73.93515",11211,East Williamsburg
"40.704508000000004,-73.9351",11206,East Williamsburg
"40.668603000000004,-73.99043940000001",11215,Gowanus
"40.668127,-73.98377641",11215,Park Slope
"40.702013,-73.923769",11237,Bushwick
"40.70708701,-73.95796783",11211,South Williamsburg
"40.69794,-73.96986848",11205,Brooklyn Navy Yard
"40.67267243410948,-74.00879524648191",11231,Red Hook
"40.81439443791581,-73.95324736833571",10027,West Harlem
"40.752957,-74.00264",10001,Chelsea
"40.760339,-73.9222427",11106,Astoria
"40.6999974843885,-73.97440128028394",11205,Brooklyn Navy Yard
"40.7519071,-73.94791190000001",11101,Hunters Point
"40.7437524099784,-73.94176483154297",11101,Hunters Point
"40.6679411,-73.9588",11225,Crown Heights
"40.702996999999996,-73.92997",11237,Bushwick
"40.771152799999996,-73.9170074",11102,Ditmars Steinway
"40.75052534,-73.94594845",11101,Hunters Point
"40.686931,-74.016966",11231,Governors Island
"40.706237,-73.933871",11206,East Williamsburg
"40.70531194,-73.97100056",11249,Brooklyn Navy Yard
"40.69231660719192,-74.01486575603484",11231,Governors Island
"40.65708866668485,-74.00870203971863",11232,Greenwood Heights
"40.7747175,-73.93378940000001",11102,Astoria
"40.710681,-73.93372",11206,East Williamsburg
"40.68461653897949,-73.98721285164356",11217,Boerum Hill
"40.68512559515415,-74.02535319328308",11231,Governors Island
"40.75742,-73.945133",11101,Dutch Kills
"40.7576314,-73.9391224",11101,Dutch Kills
"40.74128309355993,-73.93725872039794",11101,Long Island City
"40.672505799999996,-74.00494695",11231,Red Hook
"40.707174,-73.93581",11206,East Williamsburg
"40.760185299999996,-73.9362726",11106,Astoria
"40.698568,-73.918877",11237,Bushwick
"40.67363551341504,-74.01195555925368",11231,Red Hook
"40.6642406,-73.9574686",11225,Crown Heights
"40.710190000000004,-73.93734",11206,East Williamsburg
"40.66979964220026,-73.99497985839844",11215,Gowanus
"40.73492695,-73.99200509",10003,Greenwich Village
"40.751396,-74.00522600000001",10001,Chelsea
"40.7003,-73.99158100000001",11201,Brooklyn Heights
"40.69985,-73.97140999999999",11205,Brooklyn Navy Yard
"40.70539,-73.92976",11237,East Williamsburg
"40.699304,-73.92304399999999",11237,Bushwick
"40.732690000000005,-73.98974",10003,East Village
"40.7027,-73.92095",11237,Bushwick
"40.74177603,-74.00149746",10011,Chelsea
"40.698458,-73.997178",11201,Brooklyn Heights
"40.704876,-73.919911",11237,Bushwick
"40.74317449,-74.00366443",10011,Chelsea
"40.71644423134479,-73.9823305606842",10002,Lower East Side
"40.70838,-74.00495",10038,Financial District
"40.671907,-73.993612",11215,Gowanus
"40.732339777151054,-73.97898383438587",10009,Stuyvesant Town-Peter Cooper Village
"40.75066386,-74.00176802",10001,Chelsea
"40.68186,-73.95943199999999",11238,Clinton Hill
"40.74964,-73.98805",10120,Midtown South
"40.752269,-73.982079",10018,Midtown South
"40.665816,-73.95693399999999",11225,Crown Heights
"40.702461,-73.98684200000001",11201,Dumbo
"40.75934501,-73.96759673",10022,Midtown East
"40.789621999999994,-73.97757",10024,Upper West Side
"40.72456089,-73.99565293",10012,Nolita
"40.763201,-73.97845799999999",10019,Midtown West
"40.782593,-73.971211",10024,Central Park West Historic District
"40.763189000000004,-73.978434",10019,Midtown West
"40.776173,-73.959757",10075,Upper East Side
"40.77485,-73.9342",11102,Astoria
"40.7849032,-73.950503",10128,Carnegie Hill
"40.75645824,-73.99372222",10018,Garment District
"40.734814,-73.992085",10003,Greenwich Village
"40.69502,-73.92825",11221,Bushwick
"40.700759999999995,-73.93641",11206,Bushwick
"40.70106,-73.93318000000001",11206,Bushwick
"40.700990000000004,-73.93921",11206,Williamsburg
"40.73124,-73.95161",11222,Greenpoint
"40.716657,-73.93637",11211,East Williamsburg
"40.69757,-73.93098",11221,Bushwick
"40.72984,-73.94839",11222,Greenpoint
"40.717729999999996,-73.94051",11211,East Williamsburg
"40.70686,-73.92851",11237,East Williamsburg
"40.733959999999996,-73.95204",11222,Greenpoint
"40.714290000000005,-73.93323000000001",11211,East Williamsburg
"40.7162469,-74.0334588",7302,Colgate Center
"40.7141454,-74.0335519",7302,Colgate Center
"40.728744799999994,-74.03210820000001",7310,Newport
"40.71653978099194,-74.0496379137039",7302,Historic Downtown
"40.748715945380226,-74.04044330120088",7307,The Heights
"40.71517767732029,-74.03768330812454",7302,Paulus Hook
"40.70965083364061,-74.0686011314392",7304,Bergen-Lafayette
"40.759030082196055,-73.9938586950302",10036,Hell's Kitchen
"40.71835519823214,-74.03891444206238",7302,The Waterfront
"40.7242941,-74.0354826",7310,Hudson Exchange
"40.73520838045357,-74.04696375131606",7310,Historic Downtown
"40.71848892,-74.047726625",7302,Van Vorst Park
"40.717732500000004,-74.04384499999999",7302,Van Vorst Park
"40.727595965999996,-74.044247311",7302,Hamilton Park
"40.73089709786179,-74.06391263008119",7306,Journal Square
"40.733670000000004,-74.0625",7306,Journal Square
"40.742677141,-74.051788633",7307,The Heights
"40.7241765,-74.05065640000001",7302,The Village
"40.71942,-74.05099",7302,Historic Downtown
"40.7124188237569,-74.03852552175522",7302,The Waterfront
"40.71458403535893,-74.04281705617905",7302,The Waterfront
"40.72528910781132,-74.04557168483734",7302,Harsimus Cove
"40.7272235,-74.03375890000001",7310,Newport
"40.72568548362901,-74.0487903356552",7302,The Village
"40.7311689,-74.0575736",7306,Journal Square
"40.71649,-74.04105",7302,Paulus Hook
"40.71925170000001,-74.034234",7302,Exchange Place North
"40.71821129999999,-74.08363940000001",7304,West Side
"40.6716493,-73.9631145",11238,Prospect Heights
"40.6610633719006,-73.97945255041121",11215,Prospect Park West
"40.76590936,-73.97634151",10019,Central Park South
"40.76350532,-73.97109243",10022,Midtown East
"40.799484,-73.955613",10026,Central Park North
"40.684751399999996,-73.99917254",11231,Carroll Gardens
"40.697787,-73.973736",11205,Clinton Hill
"40.795346,-73.96186",10025,Central Park West
"40.794066608185524,-73.96286845207214",10025,Central Park West
"40.705517,-73.93936",11206,Southside
"40.707165,-73.923711",11237,Bushwick
"40.709897,-73.94008000000001",11206,East Williamsburg
"40.702831,-73.9333",11206,East Williamsburg
"40.704425,-73.92836",11237,Bushwick
"40.711242299999995,-74.0557013",7304,Liberty State Park